author,title,tag,partition,funs,like,coins,collect,share,danmu,reply,time,like_rate,views
落花轻羽,二上云岚宗，药老附体，斗宗萧炎力压全场！萧炎/云韵，两人终是以真实身份相见【斗破苍穹三年之约】,国创 国产原创相关,guochuang,678,839,163,90,60,11,206,56.48333333,0.027202283,30843
国漫迷68,古族唯一的斗皇，凌影，为啥看大门都不配,国创 国产原创相关,guochuang,28,1173,13,55,4,22,391,116.9166667,0.011791789,99476
枫孑轩,唢呐一响，燃爆全场！！！,国创 国产原创相关,guochuang,77982,240351,102334,107081,5815,3748,3252,2236.833333,0.075218096,3195388
次元小主,圆满了！官方终于把这个坑填了！机械羊,国创 国产原创相关,guochuang,101896,110620,8735,26113,2547,1426,1916,704.2333333,0.035662083,3101894
柯奕动漫,萧炎闭关一年才达到斗皇，海波东却从三星斗皇飙升至九星斗皇巅峰,国创 国产原创相关,guochuang,563,436,2,15,2,5,72,67,0.012988947,33567
足迹动漫,期待龙震天在下一部的精彩表现。,国创 国产原创相关,guochuang,2186,6493,36,504,3,13,15,215.6833333,0.018995489,341818
苏由颜,这小东西竟然是病娇疯批！脸萌心狠！还觉得可爱吗？,国创 国产原创相关,guochuang,869,1237,21,324,17,107,29,46.73333333,0.055247879,22390
我叫李大喵,细节拉满不降智，反派牛批不对波。,国创 国产原创相关,guochuang,123,1491,160,46,21,66,359,89.8,0.039732452,37526
袖舞灯华,【宝青坊主×黑风洞主】听说这个CP叫洞坊？妙啊！ 『老狐狸/蜘蛛，我开公交车/大超市养你呀！』,国创 国产原创相关,guochuang,5829,49493,804,12363,150,233,183,618.2666667,0.10065322,491718
昭爱狐,斗破苍穹:萧炎你胆挺肥的，斗宗也敢捂手里，这也太值了,国创 国产原创相关,guochuang,13218,1375,107,423,101,190,148,127.25,0.015432272,89099
菲力薯条君ovo,兔子：鹰酱来啊！试试疼不疼！不疼不要小钱钱！淦！,国创 国产原创相关,guochuang,546,2704,59,79,2,34,26,118.6,0.073916134,36582
落尘是逗比,十年前的偷星九月天！魔君琉星回归，贪狼最后一战！魔界篇终章！,国创 国产原创相关,guochuang,372780,10310,4907,1610,120,1038,1355,124.0666667,0.090626209,113764
花辞雨,你 们 当 爹 的 颜 值 都卷到这个地步了吗,国创 国产原创相关,guochuang,858,22485,227,4477,145,287,530,481.9666667,0.049990551,449785
堕天使的心跳X,唢呐一响，国漫巅峰！这才是真正的燃向修仙！！！【凡人修仙传】,国创 国产原创相关,guochuang,3355,1307,134,60,28,231,158,72.73333333,0.059336269,22027
飞沙走乃,这才是国漫之光！这真的是年番吗！这特效打斗爽炸了！【凡人修仙传】,国创 国产原创相关,guochuang,52526,2156,314,97,56,92,598,95.38333333,0.0582561,37009
心中想的是蓝兔,“这大概就是熊出没感人的原因吧！”,国创 国产原创相关,guochuang,12461,17561,6872,8227,712,984,489,481.1833333,0.095192923,184478
星有野,【我怎么才能让你相信国创动画】,,guochuang,2061928,253632,112476,42338,8076,6495,5382,109.3,0.105746929,2398481
但求一生无忧,【一人之下4】请让我尝试进入你的护身法器！,国创 国产原创相关,guochuang,2718,28091,2007,4147,208,253,522,428.3166667,0.044569575,630273
小秦漫馆长,斗破苍穹：为什么海波东结局只有斗宗，却能在斗气大陆横着走？,国创 国产原创相关,guochuang,16,461,18,21,0,17,79,42.66666667,0.016622796,27733
莫轩mox,斗破苍穹：萧炎家人见到美杜莎，有什么样的反应？萧炎父亲最真实,国创 国产原创相关,guochuang,10302,632,60,43,3,32,94,47.13333333,0.02576227,24532
漫述君Lookchard,18部国漫新番片单出炉，2022年中你最期待哪一部？,国创 国产原创相关,guochuang,20933,2808,342,1534,259,752,1118,288.1333333,0.028126127,99836
爱做欢喜爸爸,我说00后的三观怎么这么正，原来是以前的动画的熏陶!,国创 国产原创相关,guochuang,28222,1125316,718810,585615,80599,115911,41716,3977.933333,0.08940513,12586705
废物的空城,逛街，买鞋，看纸鸢。火火，日前给你三天时间展现一下你的家庭弟位【斗破苍穹三年之约05】,国创 国产原创相关,guochuang,1419,2911,191,785,87,205,462,102.3166667,0.029848451,97526
